"filename", "language", "Markdown", "JavaScript", "XML", "CSS", "HTML", "SCSS", "JSON", "JavaScript React", "Log", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back6.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\bule-check.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\bule-people.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\bule-star.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\cancel.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\icon-return.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\kyc.svg", "XML", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\lattice.svg", "XML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\radio.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\radio_sel.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\upload-img.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\walletConnectIcon.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\logo\logo-black.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\logo\logo-white.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\WalletConnect.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 4, 19, 110
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\WalletItem.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\AuctionTipModal.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 10, 145
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\BidModal.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\Button.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\Form.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 2, 17, 176
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\Layout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 437, 0, 4, 77, 518
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\Modal.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 25, 206
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\PasswordMpdal.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\TipLink.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\message.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 6, 70
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\styled.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\useWeb3React.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\config\request_api.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\const.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 12, 46
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\hooks\useDebounce.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\hooks\useLeftTime.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
